,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Country_Region,Combined_Key,Last_Update
48,Tennessee,35.88510221221052,-86.10872298863156,1870.5051546391753,22.84536082474227,0.0,1847.659793814433,2709.5738382875134,1.2692344445502182,US,"Tennessee, US",
49,Texas,31.660643442283458,-98.65306860334638,2776.235294117647,59.023529411764706,0.0,2717.211764705882,1996.52064410729,2.963556874087948,US,"Texas, US",
50,Utah,40.014400114615384,-111.46087804615384,4489.428571428572,31.428571428571427,0.0,4458.0,1710.0988273242033,0.8431449372770398,US,"Utah, US",
51,Vermont,44.159495798571434,-72.68438070571429,114.0,3.8666666666666667,0.0,110.13333333333334,203.13344587557617,1.5923367108605009,US,"Vermont, US",
52,Virgin Islands,18.3358,-64.8963,1257.0,19.0,0.0,1238.0,1171.831301040385,1.511535401750199,US,"Virgin Islands, US",
53,Virginia,37.56615032526316,-78.51371173503755,1041.3880597014925,22.29850746268657,0.0,1019.0895522388059,1552.5389847999609,2.500897000111522,US,"Virginia, US",
54,Washington,47.23378642,-120.71922041538463,2054.975,50.925,0.0,2004.05,1135.25615389778,1.7117586347804399,US,"Washington, US",
55,West Virginia,38.81425370672727,-80.6174545132727,248.01785714285714,5.553571428571429,0.0,242.46428571428572,599.2404678796695,2.1671369102822378,US,"West Virginia, US",
56,Wisconsin,44.395143494861124,-89.79797998097222,1332.5890410958905,16.958904109589042,0.0,1315.6301369863013,1172.4140453754853,1.0048877934930296,US,"Wisconsin, US",
57,Wyoming,43.086885505217396,-107.15324220434782,199.20833333333334,2.0416666666666665,0.0,197.125,801.660984838427,1.2499979839011501,US,"Wyoming, US",
0,,33.93911,67.709953,38919.0,1437.0,32576.0,4906.0,99.9760046286072,3.692283974408386,Afghanistan,Afghanistan,2020-09-20 04:22:56
1,,41.1533,20.1683,12226.0,358.0,6888.0,4980.0,424.83841823615273,2.9281858334696547,Albania,Albania,2020-09-20 04:22:56
2,,28.0339,1.6596,49623.0,1665.0,34923.0,13035.0,113.16264472888363,3.35529895411402,Algeria,Algeria,2020-09-20 04:22:56
3,,42.5063,1.5218,1564.0,53.0,1164.0,347.0,2024.202420242024,3.3887468030690537,Andorra,Andorra,2020-09-20 04:22:56
